ID,question,answers
IA0027,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Biogeochemical Modeling, Water Quality, Water Supply, Contaminant Transport"
IA0028,research-a,"Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Sediment Transport, Water Supply, Contaminant Transport, Hydrological Modeling"
IA0029,research-a,"Nutrient Cycling, Water Quality, Water Routing, Hillslope Hydrology, Surface Water – Groundwater Interactions, Contaminant Transport"
IA0030,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Microbial Community Dynamics, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development"
IA0031,research-a,"Successional Dynamics, Ecological Resilience, Indigenous Science, Environmental Justice, Air Quality, Health"
IA0032,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Method Development"
IA0033,research-a,"Nutrient Cycling, Microbial Community Dynamics, Food Web / Trophic Dynamics, Water Quality"
IA0034,research-a,"Nutrient Cycling, Microbial Community Dynamics, Successional Dynamics, Ecological Resilience"
IA0035,research-a,Risk Communication / Health Communication
IA0036,research-a,"Microbial Community Dynamics, Successional Dynamics, Ecological Resilience, Watershed Management, Sediment Transport"
IA0037,research-a,"Nutrient Cycling, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Biogeochemical Modeling, Successional Dynamics, Ecological Modeling, Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Sediment Transport, Water Supply, Surface Water – Groundwater Interactions, Contaminant Transport, Hydrological Modeling, Soil Erosion, Fire severity modeling"
IA0038,research-a,"Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Method Development"
IA0039,research-a,"Nutrient Cycling, Water Quality"
IA0040,research-a,"Water Quality, Watershed Management, Societal Costs, Policy, Water Supply, Hydrological Modeling, Disaster risk management and reduction"
IA0041,research-a,"Water Routing, Hillslope Hydrology, Sediment Transport, ash, soil hydrology, preferential flow, soil water repellency hydrophobicity, soil heating, spatial variability, soiltemperature-fire intensity relationships, integrated fire management"
IA0042,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Microbial Community Dynamics, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Functional Diversity, Successional Dynamics, Ecological Resilience"
IA0043,research-a,"Biogeochemical Modeling, Water Quality, Surface Water – Groundwater Interactions, Hydrological Modeling"
IA0044,research-a,"Ecological Resilience, Watershed Management, post-fire soil erosion risk"
IA0045,research-a,"Biogeochemical Modeling, Successional Dynamics, Ecological Resilience, Ecological Modeling, Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Water Supply, Surface Water – Groundwater Interactions, Contaminant Transport, Hydrological Modeling"
IA0046,research-a,"Microbial Community Dynamics, Successional Dynamics, Ecological Resilience, Air Quality, Health"
IA0047,research-a,"Nutrient Cycling, Microbial Community Dynamics, Biogeochemical Modeling, Functional Diversity, Successional Dynamics, Ecological Resilience, Ecological Modeling"
IA0048,research-a,"Successional Dynamics, Ecological Resilience"
IA0049,research-a,"Microbial Community Dynamics, Ecology"
IA0050,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Microbial Community Dynamics, Pyrogenic Organic Matter Transport, Fluxes, Functional Diversity, Successional Dynamics, Ecological Resilience, Water Quality, Watershed Management"
IA0051,research-a,"Ecological Modeling, Water Quality, Societal Costs, Policy"
IA0052,research-a,"Nutrient Cycling, Microbial Community Dynamics, Biogeochemical Modeling, Ecological Resilience, Ecological Modeling, Indigenous Science, Environmental Justice"
IA0053,research-a,"Functional Diversity, Successional Dynamics, Ecological Resilience"
IA0054,research-a,"Fire Resistant Materials, Building Materials and Fire Safety, Resilient Design"
IA0055,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Microbial Community Dynamics, Pyrogenic Organic Matter Transport, Fluxes, Successional Dynamics, Ecological Resilience, Water Quality, Watershed Management, Forest and Fire Ecology"
IA0056,research-a,"Biogeochemical Modeling, Successional Dynamics, Ecological Resilience, Ecological Modeling"
IA0057,research-a,"Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Biogeochemical Modeling"
IA0058,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Biogeochemical Modeling"
IA0059,research-a,"Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Sediment Transport, Water Supply, Contaminant Transport, Hydrological Modeling"
IA0060,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Microbial Community Dynamics, Successional Dynamics, Ecological Resilience"
IA0061,research-a,"Functional Diversity, Successional Dynamics, Ecological Resilience, Food Web / Trophic Dynamics, Ecological Modeling, Indigenous Science, Environmental Justice, Societal Costs, Policy, Wildlife community responses to fire"
IA0062,research-a,"Successional Dynamics, Ecological Resilience, Ecological Modeling"
IA0063,research-a,"Nutrient Cycling, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Water Quality, Watershed Management, Sediment Transport, Contaminant Transport"
IA0064,research-a,"Ecological Modeling, Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Sediment Transport, Water Supply, Surface Water – Groundwater Interactions, Contaminant Transport, Hydrological Modeling"
IA0065,research-a,"Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Sediment Transport, Water Supply, Contaminant Transport, Hydrological Modeling"
IA0066,research-a,"Nutrient Cycling, Microbial Community Dynamics, Functional Diversity"
IA0067,research-a,"Microbial Community Dynamics, Successional Dynamics, Ecological Resilience"
IA0001,pathways,"finding common language because, many times, we do not assess the same parameters, work in very different temporal and spatial scales. "
IA0002,pathways,This approach here : Bring the different communities together with all the known challenges. Identification what the different communities would need to know from other fields of research and adapting this to what can reasonably be made known
IA0003,pathways,"        We need a long term monitored field site, like a “Critical Zone Observatory”, specific to wildfire that incorporates colocated measurements from fire spread and burn severity assessments, vegetation recovery, biogeochemistry, soil processes, hydrologic states and fluxes, and geomorphic shifts. The importance of such longterm data in hydrologic problems has been eloquently made Tetzlaff et al., 07, but not specific to fire science.
        We need a funded effort to build community integrated earth system models e.g. Hurrell et al., 03 that link wildfire effects on vegetation, hydrology, geomorphology, and biogeochemistry at relevant spatial and temporal scales.

References:
Hurrell, J. W., Holland, M. M., Gent, P. R., Ghan, S., Kay, J. E., Kushner, P. J., ... & Marshall, S. 03. The community earth system model: a framework for collaborative research. Bulletin of the American Meteorological Society, 949, 339360.

Tetzlaff, D., Carey, S. K., McNamara, J. P., Laudon, H., & Soulsby, C. 07. The essential value of longterm experimental data for hydrology and water management. Water Resources Research, 534, 598604."
IA0004,pathways,More research and education
IA0005,pathways,"conferences symposiums that cater to a broad group, large funding collaborations"
IA0006,pathways,"terrestrialaquatic interface
Aquatic and terrestrial lines of investigation have historically proceeded in parallel. The terrestrialaquatic interface is a hotspot of biogeochemical activity and central in understanding terrestrial and aquatic wildfire impacts.
Sullivan, S. Mažeika P., and David WP Manning. ""Aquatic–terrestrial linkages as complex systems: insights and advances from network models."" Freshwater Science 38.4 09: 936945.
Tank, Suzanne E., et al. ""Beyond respiration: Controls on lateral carbon fluxes across the terrestrialaquatic interface."" Limnology and Oceanography Letters 3.3 08: 7688."
IA0007,pathways,"  Development of multiple modeling approaches that integrate burn behavior, impacts on vegetation and soil structure, watershed hydrology, and watershed exports Walker et al. 08. CrossScale Controls on Carbon Emissions from Boreal Forest Megafires. Global Change Biology. Doi: 0./gcb.487"
IA0008,pathways,·Communications: Frequent and deep discussions are necessary to share the research background and problems among scientists having different disciplines.   
IA0009,pathways," developing and utilizing compatible methodologies across subdisciplines i.e., Cotrufo et al 06 in Organic Geochemistry
 integration of both conducting and presenting research across fire subdisciplines "
IA0010,pathways,"Numerical models of watersheds provide a potential framework within which understanding can be integrated and hypotheses can be formulated and tested. However, communication and coordination between modelers and experimentalists is often weak. Twoway modeldata integration use of models to design experiments/observations, and use of experimental/observational data to refine and update models is essential.

Citation: Chen X., Lee R. M., Dwivedi D., Son K., Fang Y., Zhang X., Graham E., Stegen J., Fisher J. B., Moulton D. and Scheibe T. D. 0 Integrating field observations and processbased modeling to predict watershed water quality under environmental perturbations. Journal of Hydrology, Accepted, doi: https://doi.org/0.06/j.jhydrol.00.576"
IA0011,pathways,"Providing more money and larger grants. It is difficult to integrate across disciplines because more people means larger grants are needed, and even $M goes really fast with just a couple people given personnel costs. Hosting more interdisciplinary fire focused work shops. I learned a lot at at fire science workshop hosted at UC SB that had people from across disciplines are interested in wildfires."
IA0012,pathways,"Utilizing existing monitoring programs see comment below is one of the most important steps toward integrating fire science across disciplines. This will open doors to new collaborations that encourage new scientific efforts while also streamlining unnecessary repeating efforts within the community.  

A definition of fire science that is inclusive across disciplines that encourages contributions and integrations of the broader research community, policy makers e.g., land management, fire restoration strategies, the general public and indigenous communities should be encouraged as we seek sustainable solutions to coexist with fire in a changing climate"
IA0013,pathways,"Building a respectful and more holistic consideration of merging traditional tribal knowledge into modern scientific practices when developing and applying research questions around impacts of wildfire. Justification:  Chief, K., Daigle, J.J., Lynn, K., Whyte, K.P. 04. Indigenous experiences in the U.S. with climate change and environmental stewardship in the Anthropocene. In: Sample, V. Alaric; Bixler, R. Patrick, eds. Forest conservation and management in the Anthropocene: Conference proceedings. Proceedings. RMRSP7 Fort Collins, CO: USDA. Rocky Mountain Research Station"
IA0014,pathways,"This is a good question…. and as an ecologist I rarely interact with hydrologists, geologists, and others working in fire science. Of course, fire science is necessarily integrative, which necessitates thinking about processes occurring in the terrestrial landscape burn severity, for example. I think adequately preparing students would be a nice first step, especially as fire science programs may not be the most wholistic https://catalog.extension.oregonstate.edu/sites/catalog/files/project/pdf/em97pdf. "
IA0015,pathways,"Having conferences/workshops where a diverse set a wildfire researchers are invited and/or attend to learn what others are doing in different fields and to spark collaboration. Potentially target large conferences ESA, AGU, etc and have broad wildfire topic for the session. 
If possible, establishing longterm research sites that are open to all disciplines for collaborations. Similar to LTER sites. This will allow for better understanding of longterm ecological effects of wildfire McLauchlan et al. 00. 

McLauchlan, K. K., Higuera, P. E., Miesel, J., Rogers, B. M., Schweitzer, J., Shuman, J. K., ... & Watts, A. C. 00. Fire as a fundamental ecological process: Research advances and frontiers. Journal of Ecology, 085, 047069."
IA0016,pathways,"        The most important pathway to integrated, transdisciplinary science is the development of committed research teams that will work together to frame the problems they will collaboratively address Lang et al., 0; Yates et al., 05. This necessitates collaborators who are committed to investing the necessary time to the joint learning process financial investments and commitments by the team members to working 
        Given the need for longterm time investments to develop transdisciplinary collaborative teams, an initial pathway forward may be to develop and suggest guidelines for methods of data collection and development of metadata to facilitate integration of often disparate data sets. While this cannot replace the need for truly collaborative transdisciplinary teams, it may enable future investments in research by illustrating to greater value from integration across disciplines."
IA0017,pathways," Nomenclature used to describe pyrogenic carbon has evolved alongside the methods we use to characterize this critical carbon fraction and definitions vary among scientific disciplines Hammes and Abiven, 03.  Since the use of specific scientific language promotes efficient communication within and among disciplines, the use of clear and consistent definitions to describe pyrogenic carbon must be emphasized.  Analytical windows for methods used to quantify pyrogenic carbon must be precisely articulated to avoid the confusion that results from propagation of poorly defined terminology.  From an analytical perspective, the incorporation of pyrogenic carbon standards is also advisable.

 Efficient integration of fire science across scientific disciplines requires that the right samples, in sufficient amounts, are collected at the right time.  I am currently involved in a few studies where my collaborators are not experts on the organic geochemical analyses conducted in my lab, but they were able to collect field samples on my behalf because I was able to provide clean supplies and sufficient instruction for collecting water samples.  I do not have a peerreviewed citation to support this perspective, but I believe that devising an ideal “sampling scheme” complete with protocols, supply lists, and perhaps even preassembled sampling kits so we are readytogo when unpredictable wildfire and storm events occur.  One of the main challenges is making the sampling process easy for onsite researchers, so labintensive analyses can occur to support fieldbased measurements and observations.

REFERENCE

Hammes, K., Abiven, S. 03 Identification of black carbon in the Earth system. In “Fire Phenomena and the Earth System: An Interdisciplinary Guide to Fire Science” Ed. C.M. Belcher. John Wiley & Sons, Inc. Hoboken, NJ pgs. 5776."
IA0018,pathways,"Common language across the subdisciplines Zimmerman and Mitra, 09; Keeley, 008 Int. J. Wildland Fire."
IA0019,pathways,This is a difficult question!  Crosscommunication?  Integrated workshops?
IA0020,pathways,"        Postfire studies that integrate fieldbased monitoring, labcontrolled experiments, and modeling components for the same fireimpacted watersheds at comprehensive spatial and temporal scales are needed to address variability in wildfire behavior and unknowns surrounding the duration and magnitude of water quality response. There is a strong need for studies investigating the entire postfire watershed response including the landscape e.g., ash, soils together with all components of aquatic systems, streams, groundwater, and lakes. 

        Further research that involves multiple fires, of varying severity, across a range of watersheds with different fuel types and hydrologic regimes is needed. Research traditionally focuses on individual fires and watersheds Rhoades et al., 09, and broader and larger datasets are needed. 
"
IA0021,pathways," Integrating multiple analytical approaches to understand the history, reactivity, and transport of PyOM;  Developing model platforms that integrate soil biogeochemistry, hydrology, vegetation dynamics with fire regimes for more comprehensive understanding of ecosystem resilience"
IA0022,pathways,Bringing together a transdisciplinary group of researchers and stakeholders
IA0023,pathways,"The most important pathway to advancing and  better integrating fire science is to assemble a interdisciplinary team of scientists, engineers, watershed managers, foresters, planners and research partners with a clear mandate to work together on a common set of research goals that provide science upon which to develop policies and regulations. This can only be enabled by strong leadership, administrative support, appropriate levels of long term funding  and a strong willingness to work collaboratively! "
IA0024,pathways," I think coupled models can be an approach to integrate fire science among various disciplines.
 Coupled models provide a direct connection between the research in various scientific disciplines and fire and allows the bidirectional exchange of ideas to and from those disciplines.
 RHESSysWMFire, a watershedscale coupled ecohydrologic and fire spread model, is an example of a watershedscale model that can bridge that gap between hydrology, ecology and fire ecology Kennedy et al. 07, but more coupled models are needed with different emphases.

Kennedy, M. C., D. Mckenzie, C. Tague, and A. L. Dugger. 07. Balancing uncertainty and complexity to incorporate fire spread in an ecohydrological model. International Journal of Wildland Fire 6:706–78.
"
IA0025,pathways,"	Funding and research initiative that recognize the need for interdisciplinary studies and monitoring needs.
	Active engagement of scientists across disciplines in applied problem in the fire sciences.
	Open and harmonized data

Although advancement of interdisciplinary funding and networks, integration of fundamental scientists into applied research problems, and the availability and framework to support open and harmonized data have all advanced, problems remain e.g. lack of funding: Bromham et al., 06 and progress on each of these fronts is essential for achieving integrated firesystem understanding.

Reference

Bromham L, Dinnage R, Hua X. 06. Interdisciplinary research has consistently lower funding success. Nature, 534: 684687. DOI: 0.038/nature835.

"
IA0026,pathways,providing venues for discussion and integration of the science led by knowledge gaps
IA0027,pathways,crossdisciplinary workshops with space for open discussions
IA0028,pathways,"	fund collaboration networks of researchers from different areas, focusing specifically on fire sciences eg COST Action FireLinks in Europe;
	use these networks to organize targeted meetings on specific topics e.g. fire risk prediction, water quality impacts resulting in join papers, commentaries, policy briefs etc;
	when these networks exist, researchers can take advantage of existing collaborations to apply for funding in multidisciplinary project proposals dealing with fire science.

My comments come from our experience in Europe with COST Action Connecteur, where we managed to bring together scientists from different topics and managers to present our recommendations to study and manage the impacts of fire on water quality Nunes et al, 08. The creation of this network greatly facilitated building multidisciplinary project proposals to address these issues, which we found were well received and at the EU level, specifically requested by funding agencies.

Reference:
Nunes, J.P., Doerr, S., Keesstra, S., Pulquério, M., et al. 08. Policy brief: impacts of fires on water quality. Results from the Connecteur/PLACARD workshop on Fire impacts on water quality, 4–6 February 08, Lisbon https://www.placardnetwork.eu/impactsoffiresonwaterquality/."
IA0029,pathways,"Addressing the role of intermittent and ephemeral streams and rivers in the postfire delivery of ash, charcoal, and fine particulate black carbon.

Capturing dynamic changes from pulsed inputs on stream and river networks after catastrophic forest fires."
IA0030,pathways,"As with all branches of science, meetings where people can brainstorm in a crossdisciplinary way. The Gordon Conferences are a great model for this. "
IA0031,pathways,"Pyrogeography  pyrogeographic is an avowed holistic, synthetic and collaborative field
I have written several papers on this topic see 
Bowman, D.M., O'Brien, J.A. and Goldammer, J.G., 03. Pyrogeography and the global quest for sustainable fire management. Annual Review of Environment and Resources, 38.
Bowman, D.M., Kolden, C.A., Abatzoglou, J.T., Johnston, F.H., van der Werf, G.R. and Flannigan, M., 00. Vegetation fires in the Anthropocene. Nature Reviews Earth & Environment, 0, pp.50055."
IA0032,pathways,more longterm obseravtions
IA0033,pathways,Developing interdisciplinary linkages within scientific studies. See response below. 
IA0034,pathways," A network of fire sites that could be thought of as ""observatories"", where researchers of different backgrounds could come and conduct analyses similar to the critical zone observatories Anderson et al. 008

Anderson et al. 008 Critical Zone Observatories: Building a network to advance interdisciplinary study of Earth surface processes. Mineralogical Magazine. 7 : 7–0"
IA0035,pathways,"To further integrate fire science into fields focusing on social impact and risk communication, expanding social impact assessments beyond economic measures to examine social dynamics could provide greater insight into the range of impacts on communities, communications within, and how they may vary over time.

Paveglio, T. B., BrenkertSmith, H., Hall, T., & Smith, A. M. 05. Understanding social impact from wildfires: Advancing means for assessment. International Journal of Wildland Fire, 4, 4."
IA0036,pathways,To integrate all scientific disciplines in the same research looking for synergies. Scientists across differetn disciplines have to work together to address key research questions
IA0037,pathways,"For the sediment and ash delivery, downstream delivery of sediment and ash needs to e monitored and linked to burn severity distribution, soils and topography within the upland waterheds, across a range of climatic, geologic and topographic landscapes.  
Citation: Neris, J., Santin, C., Lew, R., Robichaud, P. R., Elliot, W. J., Lewis, S. A., Sheridan, G., Rohlfs, A., Ollivier, Q., Oliveira, L., and Doerr, S. H. 0 Designing tools to predict and mitigate impacts on water quality following the Australian 09/00 wildfires: Insights from Sydney’s largest water supply catchment. Integrated Environmental Assessment and Management.  https://doi.org/0.00/ieam.4406.

For the debris flow modeling: Detailed field surveys of debris flows and their upstream basins need to be carried out and linked to estimates of the rainfall or snowmelt events that caused them. Rainfall may need to be estimate by radar as rain gage data are unlikely to be available across the landscape where debris flows may occur. 
Citation: Cannon S. H , Gartner J. E., Rupert M. G., Michael J. A., Rea A. H. and Parrett C. 00. Predicting the probability and volume of postwildfire debris flows in the intermountain western United States. GSA Bulletin January/February : 744."
IA0038,pathways,"Recognise that changes in the intensity and extent of wildfires affect many aspects of earth science. It is essential to study them in order to understand what happens in hydrology, atmosphere air quality, CO emissions, soil quality and productivity, biodiversity, climate, etc. In other words, fires directly affect or are fed by the major current environmental problems. 
A multidisciplinary and crosscutting approach is necessary. Tedim et al., 0; Forest Policy and Economics,  0565.
There is a need to combine studies using in situ measurements with predictive statistical tools personal opinion.
Highlight the importance of wildfires as indicators of the health of the planet with an historical perspective."
IA0039,pathways,"Foster and enhance collaborative crossdiscipline science opportunities like this to get to know active researchers for network building
Generate new pathways for collaborative efforts ex., research funding for a global/regional fire monitoring network...it can be hard to secure opportunistic funding when fires occur, so critical monitoring periods are often missed... or funding for biennial crossdisciplinary review panel paper similar to this"
IA0040,pathways," Internationalization: wildfires are a worldwide phenomenon as much as a worldwide issue, and yet most of our environmental science is biased towards the Western world Hughes at al, 00, Ecography
 System thinking: Wildfire disasters are a systemic risk coming from socioecological imbalances McWethy et al. 09. We need to make sure future wildfirerelated research is shaped by this reality."
IA0041,pathways,"there is a disconnect between fire science and other disciplines like hydrology, soil science, biogeochemistry, so a disconnect between those studying and modeling fire behavior and those studying the impacts of that fire behavior. In Stoof et al 03 Hot fire, cool soil I explain this disconnect focusing on fireinduced soil heating. A pathway to better integrating fire science across disciplines is to create more opportunity for fire scientists and fire impact scientists to engage, to facilitate fire impact scientists doing postfire studies to see and experience and learn about fire in the field and to encourage postfire scientists to include fire metrics rate of spread, fire intensity, residence time, but also fire danger classification like the FWI indices in their research publications."
IA0042,pathways,"Continued exchange via conferences and workshops

Holistic training of new fire scientists  somewhat akin to the recommendations made for microbial ecologists by Tom Schmidt Schmidt, 006, International Microbiology  ensuring expertise across subdomains"
IA0043,pathways,"Pathways can include new methods for linking data collected at vastly different spatial/temporal scales, and new communication methods to describe the importance of datasets to colleagues outside of the discipline."
IA0044,pathways,Increased awareness of the role of fire in ecosystems through a better connection with land managers.
IA0045,pathways,"In my opinion, the discipline missing in this survey is wildland fire behavior science.  Wildland fire behavior determines fire severity and therefore fire affects.  Including this component will help integrate between ecosystem response, resiliency, and how ecosystem structure influences fire severity, which then leads to water quantity and quality response for wild land fire.   "
IA0046,pathways,"I think the best way toward more integration across disciplines is to make data and analyses publicly accessible. This could allow for studies in the same area maybe the same fire utilize data to gain a more indepth look into how fire is impacting not only their area of interest, but also other factors that may be impacting their study area of interest."
IA0047,pathways,"Integration between localscale empirical research, processbased modelling and biogeographic/biostatistical inventory approaches, since all approaches are needed to provide a large area of inference while maintaining scientific rigor and a hypothesisbased theory Blankinship et al. 08; DOI: 0.007/s0533080478.

Better understanding of abovebelow ground links vegetation ecology  ecosystem ecology  microbiology  biogeochemistry, since ecosystem trajectories after fire are likely to depend strongly on plantmicroorganismsoil feedbacks Clemmensen et al. 03; DOI: 0.6/science.393."
IA0048,pathways,"Increased collaboration between ecologists and management Kelly and Brotons 07 Science
Integration of Big Data Peters et al. 08 BioScience https://doi.org/0.093/biosci/biy069"
IA0049,pathways,Overarching projects that work at different interfaces i.e. landwater with a focus on fire science.
IA0050,pathways,Identifying crosscutting research teams that can effectively address interdisciplinary questions
IA0051,pathways,"I think an important pathways to better integrating data in fire science is to address making fire data more Findable, Accessible, Interoperable, and Reusable Wilkinson et al. 06. There's certainly a lot to unpack in the acronym, but essentially, how can we make sure that fire data are open and easy to share, and then once that fire data are shared, how easy is it for others to reuse that data."
IA0052,pathways,New opportunities for communication and collaboration are needed. Researchers tend to be siloed by discipline e.g. hydrology versus ecology and study system e.g. plants versus microbes. These groups need to come together to develop a common language and approach for addressing fire at the system level.
IA0053,pathways,Broad collaborations and synthetic work of various working groups. 
IA0054,pathways,"Learning what has/been working so far in other places, working with colleagues/leaders in broad fields dedicated to improve or find solutions, identify clear objectives and goals, design feasible tasks, and have regular meetings to work in teams on the shared vision."
IA0055,pathways,"Opening up a conversation to synthesize knowledge across disciplines and to identify key knowledge gaps and mutual interests is an approach that is often fruitful.  Special sessions, conferences and proceedings and crossdisciplinary synthesis articles have all been used to move things along.

Rhoades, C.C., J.P. Nunes, U. Silins, and S.H. Doerr. 09. The influence of wildfire on water quality and watershed processes: new insights and remaining challenges. International Journal of Wildland Fire 8:775.

 "
IA0056,pathways,organized transdisciplinary discussions
IA0057,pathways,"Connecting fire ecology to biogeochemistry better: It is clear that fire affects SOM dynamics on very large time scales, but these investigations are very limited to short impacts after fire for The moment.
Including fire and fire consequences in large scale models: PyC is virtually absent from regional and global scales models up to now, despite its potential major role"
IA0058,pathways,A collaborative effort to integrate fire impacts on the carbon cycle within Dynamic Global Vegetation Models and Earth System Models tends to drive progress by i revealing the importance of 'missing' effects to modellers and ii allowing field/lab focussed researchers to understand the needs of modellers typically the input variables or empirical relationships needed to inform the process modelling.
IA0059,pathways,"Building common terminology/language, metrics and analytical methods for characterizing fire and its effects across disciplines.
 Building a shared databases on fire characteristics and impacts to be used worldwide."
IA0060,pathways,"Crossdiscipline communication i.e. conferences, meetings, seminars, etc. and collaboration where possible, possibly facilitated by coordinated funding strategies. For example, my research is currently funded by the DOE's Biological and Environmental Research Program, which also funds several other firerelated research programs. Annual DOE meetings have been a critical opportunity for us to connect with other research groups investigating fire impacts from a variety of perspectives/disciplines. "
IA0061,pathways,Collaboration of longterm field studies across various ecosystem types and fireregimes along with an openaccess and equitable database repository that houses data for fire science studies would help cover the emergent issues covered by McLauchlan et al's 00 review; this would also promote synthesis studies and collaboration for researchers across the globe.
IA0062,pathways,transdisciplinary communication and increased funding. Fire science is an inherently interdisciplinary problem where no one expert will have the answers McWethy et al. 09 Nature Sustainability. We need to improve our ability to collaborate in interdisciplinary teams and funding could incentives such interactions.
IA0063,pathways," improved educational programs that stress interdisciplinary and provide foundational knowledge of physical, chemical and biological processes in watershed processes and their related ecosystem services.   "
IA0064,pathways,"Collaborative activities can provide opportunities for interdisciplinary research and solve society’s challenges. Diversity on the team is also an important factor Van Rijnsoever and Hessels, 0.

Van Rijnsoever, Frank J., and Laurens K. Hessels. ""Factors associated with disciplinary and interdisciplinary research collaboration."" Research policy 40.3 0: 46347
"
IA0065,pathways,"Direct collaboration from the outset at the planning/proposal stage
Review of research approach by experts from other disciplines advisory groups"
IA0066,pathways,Using team science to facilitate collaboration between scientists of different disciplines. 
IA0067,pathways," Better communication and collaboration between ecologists and fire scientists.
 More inclusiveness between all fire researchers and Indigenous knowledge in a meaningful and collaborative way."
IA0001,roadblocks,common language as explained in Topic  and modelling efforts that are able to integrate all the knowledge adquired in the different subdisciplines
IA0002,roadblocks,"regional differences, different factors are of varying importance at differen sits. Scaling challenging, lack of good observation data, especially for larger scales"
IA0003,roadblocks," We lack measurements across nested temporal and spatial scales sufficient to understand crossscale interactions. For example in postfire infiltration, there are many efforts at the plot scale i.e. <a few square m in the first year after fire but few efforts at larger scales or over years of recovery Ebel, 09.
 Funding of longterm data collection efforts is a major barrier to understanding of long term issues because most funding is directed towards immediate impacts of wildfire in the first 3 years Moody et al., 03.

References:
Ebel, B. A. 09. Measurement method has a larger impact than spatial scale for plot?scale field?saturated hydraulic conductivity Kfs after wildfire and prescribed fire in forests. Earth Surface Processes and Landforms, 440, 945956.

Moody, J. A., Shakesby, R. A., Robichaud, P. R., Cannon, S. H., & Martin, D. A. 03. Current research issues related to postwildfire runoff and erosion processes. EarthScience Reviews, , 037."
IA0004,roadblocks,Lack of commitment by government agencies to adequately inform the public that a fire that is suppressed today could actually have created a fuelbreak if it had been left to burn under acceptable weather conditions.
IA0005,roadblocks,methods. The biogeochemical community seems to argue back and forth about methods and the greater fire community isn't interested. The results seem lost in the endless conversation about methods and method development. Having metrics to talk about the same things would be helpful.
IA0006,roadblocks,"integration of chemical, successional, forestry, and hydrological understanding
IMO, we need to shift our thinking towards a watershed or ecosystemscale approach, which can serve as a framework for integrating diverse links of research. This scale of thinking is integrated into some modelling and risk assessment approaches but generally does not infiltrate experimental research.
Ice, George G., Daniel G. Neary, and Paul W. Adams. ""Effects of wildfire on soils and watershed processes."" Journal of Forestry 06 004: 60."
IA0007,roadblocks," Datasets tracking longterm change in terrestrial and especially aquatic ecosystems. 

 In Alaska, where the road system is limited, access to recently burned sites"
IA0008,roadblocks,?Grants: Grants to support longperiod collaboration with many scientists including students and Postdocs across scientific disciplines are really necessary.
IA0009,roadblocks," cost and access to shared methodologies
need for more longterm research projects 
 need to bring subdisciplines together to resolve differences in terminology and to share results"
IA0010,roadblocks," Multiscale process interactions: Molecularscale processes fundementally control reaction pathways and rates, but their impacts are manifested at ecosystem scales. Connecting these quantitatively and in a generalized, transferable manner is extremely difficult.
 High variability in fire impacts on watersheds presents challenges to consistent model representation Bladon et al., 04. There is need for spatially and temporally distributed measurements and for explicit representations of disturbances in processbased models.

Citation: Bladon, K. D.; Emelko, M. B.; Silins, U.; Stone, M. Wildfire and the Future of Water Supply. Environmental Science and Technology 04, 48, 8936–8943. DOI: https://dx.doi.org/0.0/es50030g."
IA0011,roadblocks,"Lack of funds to do research, high competition for limited funds, the pace and size of wildfires  it is very hard to keep up when every week in California there is another burn. In 00, nearly 4 million acres burned in California alone. Who can keep up?"
IA0012,roadblocks,"Longterm monitoring or fire impacted areas rarely extend beyond a few years. This may be in part due to accessibility or funding. Collaboration with open data agencies, such as NEON, or longterm monitoring programs LTER may be a best path forward to over come this challenge. 

Accurate characterization of pyrogenic material remains a challenge but is critical to gain insights into the source and reactivity of material in postfire landscapes. Accurate characterization will allow better predictability of postfire impacts in ESMs and implications for downstream aquatic/coastal communities"
